"","Ortho","Phono","Length","LogFreq","meanRT","accuracy"
"98","absenteeism","absntiIzm",11,4.36,997.541666666667,0.857142857142857
"99","absently","absntli",8,5.25,732.928571428571,0.903225806451613
"100","absentmindedly","absntm!nt@dli",14,3.89,908.95,0.689655172413793
"101","absinth","absInT",7,2.08,858.636363636364,0.366666666666667
"102","absolute","abs@lut",8,9.73,582.838709677419,1
"103","absolutely","abs@lutli",10,10.52,678.103448275862,1
"104","absoluteness","abs@lutn@s",12,3.14,709.258064516129,1
"105","absolutes","abs@luts",9,6.38,666.5,1
"106","absolution","abs@luSn",10,4.94,670.965517241379,1
"107","absolutism","abs@lutIzm",10,5.28,947.583333333333,0.8
"108","absolve","@bzAlv",7,5.41,666.5,0.967741935483871
"109","absorb","@bzOrb",6,7.93,724.071428571429,0.903225806451613
"110","absorbed","@bzOrbd",8,7.99,710.185185185185,1
"111","absorbency","@bzOrb@nsi",10,4.41,791.777777777778,0.931034482758621
"112","absorbent","@bzOrb@nt",9,5.26,817.892857142857,1
"113","absorber","@bzOrb#",8,4.96,771.777777777778,0.964285714285714
"114","absorbing","@bzOrbIN",9,6.84,694.275862068965,1
"115","absorbs","@bzOrbz",7,6.43,685.678571428571,0.933333333333333
"116","absorption","@bzOrpSn",10,7.46,709.586206896552,1
"117","absorptions","@bzOrpSnz",11,2.4,811.133333333333,0.9375
"118","absorptive","@bzOrptIv",10,3.47,864.5,0.714285714285714
"119","abstain","@bsten",7,6.87,731.814814814815,0.931034482758621
"120","abstaining","@bstenIN",10,5.25,856.137931034483,0.966666666666667
"121","abstention","@bstEnSn",10,4.28,942.133333333333,0.535714285714286
"122","abstinence","abst@n@ns",10,6.89,713.814814814815,0.964285714285714
"123","abstinent","abst@n@nt",9,4.29,910.68,0.862068965517241
"124","abstract","abstrakt",8,9.06,624.068965517241,1
"125","abstracted","@bstrakt@d",10,5.56,724.903225806452,0.96875
"126","abstractedness","@bstrakt@dn@s",14,0.69,1043.53846153846,0.866666666666667
"127","abstracting","@bstraktIN",11,4.73,741.178571428571,0.96551724137931
"128","abstraction","@bstrakSn",11,7.38,717.677419354839,1
"129","abstractionism","abstrakS@nIz@m",14,0,921.2,0.806451612903226
"130","abstractionists","@bstrakSnIsts",15,1.1,821.608695652174,0.821428571428571
"131","abstractions","@bstrakSnz",12,6.24,800.607142857143,0.96551724137931
"132","abstractive","abstraktIv",11,1.95,768.714285714286,0.96551724137931
"133","abstractly","abstraktli",10,4.96,729.296296296296,0.9
"134","abstractors","abstrakt#z",11,0,744.444444444444,0.964285714285714
"135","abstracts","abstrakts",9,8.32,640.172413793103,1
"136","abstruse","@bstrus",8,5.06,1034.94444444444,0.642857142857143
"137","absurd","@bs#d",6,8.51,645.785714285714,0.96551724137931
"138","absurdities","@bs#t@tiz",11,5.7,832.76,0.862068965517241
"139","absurdity","@bs#t@ti",9,6.99,751.466666666667,0.909090909090909
"140","absurdly","@bs#dli",8,5.76,695,0.964285714285714
"141","abundance","@bVnt@ns",9,7.51,629.821428571429,1
"142","abundant","@bVnt@nt",8,7.23,629.285714285714,0.96551724137931
"143","abuse","@bjuz",5,10.16,583,0.928571428571429
"144","abused","@bjuzd",6,8.71,665.357142857143,0.96551724137931
"145","abuses","@bjuz@z",6,8.11,663.142857142857,0.933333333333333
"146","abusive","@bjusIv",7,8.17,814.379310344828,1
"147","abut","@bVt",4,5.56,767.6,0.689655172413793
"148","abutment","@bVtm@nt",8,2.94,1102.64285714286,0.451612903225806
"149","abutments","@bVtm@nts",9,2.89,1167.1875,0.484848484848485
"150","abysmal","@bIzmL",7,6.43,780.740740740741,0.84375
"151","abyss","@bIs",5,8.35,665.178571428571,1
"152","acacia","@keS@",6,5.36,970.222222222222,0.3
"153","academic","ak@dEmIk",8,9.78,709.3,1
"154","academically","ak@dEmIkli",12,6.59,743.892857142857,1
"155","academicianship","@kat@mISnSIp",15,0,1528,0.142857142857143
"156","academics","ak@dEmIks",9,7.5,638.241379310345,1
"157","academies","@kat@miz",9,6.87,885.058823529412,0.586206896551724
"158","academy","@kat@mi",7,9.4,777,0.903225806451613
"159","Acadia","@keti@",6,5.72,892.090909090909,0.758620689655172
"160","Acapulco","ak@pUlko",8,5.19,886.583333333333,0.857142857142857
"161","accede","@ksid",6,5,779,0.413793103448276
"162","acceded","@ksit@d",7,4.13,837.409090909091,0.733333333333333
"163","accelerando","aksEl#rAnto",11,1.95,1151.41666666667,0.413793103448276
"164","accelerate","@ksEl#ret",10,7.77,705.064516129032,0.96875
"165","accelerated","@ksEl#ret@d",11,8.12,764.642857142857,0.96551724137931
"166","accelerating","@ksEl#retIN",12,6.94,864.962962962963,0.931034482758621
"167","acceleration","@ksEl#reSn",12,8.34,763.933333333333,0.967741935483871
"168","accelerations","@ksEl#reSnz",13,5.13,901.37037037037,0.9
"169","accelerator","@ksEl#ret#",11,8.55,748.241379310345,1
